#FitWidths.dat for GamR fit parameters as a function of energy
#energy    width     step     skew    skewamp    skew2   skewamp2
81.6       1.930     0.5941   1.512   10.96      0       0
122        1.930     0.67603  0.9205  4.35      0       0
344        1.977     0.1541   0.8964  6.24      0       0
356        1.992     0.1301   0.88    6.22      0       0
779        2.220     0.10     0.85    6.15      0       0
964        2.261     0.078246 0.8344  6.12     0       0
1173       2.383     0.09223  0.88782 6.10     0       0
1332       2.470     0.103    1.1507  6.098    0       0 
1408       2.522     0.105    1.415   6.097      0       0
1461       2.53      0.147    1.5     6.0        0       0   
